category,count,attacker_success,ASR
Animal Abuse,852,508,0.596244131455399
Bias,1908,1076,0.5639412997903563
Economic Harm,2040,1312,0.6431372549019608
Fraud,2404,1396,0.5806988352745425
Government Decision,1244,692,0.5562700964630225
Hate Speech,892,460,0.515695067264574
Health Consultation,64,20,0.3125
Illegal Activity,2800,1612,0.5757142857142857
Malware,3328,2056,0.6177884615384616
Physical Harm,848,508,0.5990566037735849
Political Sensitivity,592,344,0.581081081081081
Privacy Violation,260,144,0.5538461538461539
Tailored Unlicensed Advice,672,388,0.5773809523809523
Unethical Behavior,1168,732,0.6267123287671232
Violence,928,616,0.6637931034482759
